Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms)
text_reg_batch,1,256,text_reg_batch_config_4,0:GPU,16,Yes,430.8,603.1
text_reg_batch,1,64,text_reg_batch_config_4,0:GPU,16,Yes,426.5,154.9
text_reg_batch,1,128,text_reg_batch_config_4,0:GPU,16,Yes,425.2,306.6
text_reg_batch,1,32,text_reg_batch_config_4,0:GPU,16,Yes,420.9,90.9
text_reg_batch,1,16,text_reg_batch_config_4,0:GPU,16,Yes,333.7,67.0
text_reg_batch,1,8,text_reg_batch_config_4,0:GPU,16,Yes,253.1,38.7
text_reg_batch,1,4,text_reg_batch_config_4,0:GPU,16,Yes,171.5,27.1
text_reg_batch,1,2,text_reg_batch_config_4,0:GPU,16,Yes,108.6,22.8
text_reg_batch,1,1,text_reg_batch_config_4,0:GPU,16,Yes,103.5,12.0
text_reg_batch,1,16,text_reg_batch_config_3,0:GPU,8,Yes,341.1,53.7
text_reg_batch,1,32,text_reg_batch_config_3,0:GPU,8,Yes,338.8,102.5
text_reg_batch,1,128,text_reg_batch_config_3,0:GPU,8,Yes,338.7,392.1
text_reg_batch,1,64,text_reg_batch_config_3,0:GPU,8,Yes,332.1,199.0
text_reg_batch,1,8,text_reg_batch_config_3,0:GPU,8,Yes,255.0,43.2
text_reg_batch,1,4,text_reg_batch_config_3,0:GPU,8,Yes,163.4,29.4
text_reg_batch,1,2,text_reg_batch_config_3,0:GPU,8,Yes,104.9,22.3
text_reg_batch,1,1,text_reg_batch_config_3,0:GPU,8,Yes,97.9,13.6
text_reg_batch,1,16,text_reg_batch_config_5,0:GPU,32,Yes,336.7,72.6
text_reg_batch,1,8,text_reg_batch_config_5,0:GPU,32,Yes,259.0,40.9
text_reg_batch,1,4,text_reg_batch_config_5,0:GPU,32,Yes,159.8,29.7
text_reg_batch,1,2,text_reg_batch_config_5,0:GPU,32,Yes,102.9,25.8
text_reg_batch,1,1,text_reg_batch_config_5,0:GPU,32,Yes,101.5,12.9
text_reg_batch,1,256,text_reg_batch_config_default,2:GPU,8,Yes,287.5,930.7
text_reg_batch,1,32,text_reg_batch_config_default,2:GPU,8,Yes,287.2,137.8
text_reg_batch,1,128,text_reg_batch_config_default,2:GPU,8,Yes,284.7,492.5
text_reg_batch,1,64,text_reg_batch_config_default,2:GPU,8,Yes,282.1,265.9
text_reg_batch,1,16,text_reg_batch_config_default,2:GPU,8,Yes,233.0,106.7
text_reg_batch,1,8,text_reg_batch_config_default,2:GPU,8,Yes,177.9,66.8
text_reg_batch,1,4,text_reg_batch_config_default,2:GPU,8,Yes,124.3,51.1
text_reg_batch,1,2,text_reg_batch_config_default,2:GPU,8,Yes,114.9,25.0
text_reg_batch,1,1,text_reg_batch_config_default,2:GPU,8,Yes,97.6,16.7
text_reg_batch,1,64,text_reg_batch_config_2,0:GPU,4,Yes,262.2,251.4
text_reg_batch,1,16,text_reg_batch_config_2,0:GPU,4,Yes,261.2,71.1
text_reg_batch,1,32,text_reg_batch_config_2,0:GPU,4,Yes,260.0,139.9
text_reg_batch,1,8,text_reg_batch_config_2,0:GPU,4,Yes,258.9,35.7
text_reg_batch,1,4,text_reg_batch_config_2,0:GPU,4,Yes,166.8,29.4
text_reg_batch,1,2,text_reg_batch_config_2,0:GPU,4,Yes,105.2,23.9
text_reg_batch,1,1,text_reg_batch_config_2,0:GPU,4,Yes,104.9,11.6
text_reg_batch,1,16,text_reg_batch_config_1,0:GPU,2,Yes,161.0,106.1
text_reg_batch,1,8,text_reg_batch_config_1,0:GPU,2,Yes,159.2,55.4
text_reg_batch,1,32,text_reg_batch_config_1,0:GPU,2,Yes,157.8,212.9
text_reg_batch,1,4,text_reg_batch_config_1,0:GPU,2,Yes,155.5,31.4
text_reg_batch,1,2,text_reg_batch_config_1,0:GPU,2,Yes,105.5,23.8
text_reg_batch,1,1,text_reg_batch_config_1,0:GPU,2,Yes,101.9,12.9
text_reg_batch,1,2,text_reg_batch_config_6,0:GPU,1,Yes,118.2,25.7
text_reg_batch,1,1,text_reg_batch_config_6,0:GPU,1,Yes,104.2,11.0
text_reg_batch,1,2,text_reg_batch_config_7,0:GPU,2,Yes,118.2,24.2
text_reg_batch,1,1,text_reg_batch_config_7,0:GPU,2,Yes,104.5,11.6
text_reg_batch,1,4,text_reg_batch_config_0,0:GPU,1,Yes,104.5,41.3
text_reg_batch,1,2,text_reg_batch_config_0,0:GPU,1,Yes,104.2,21.8
text_reg_batch,1,8,text_reg_batch_config_0,0:GPU,1,Yes,103.9,85.5
text_reg_batch,1,16,text_reg_batch_config_0,0:GPU,1,Yes,102.6,167.9
text_reg_batch,1,1,text_reg_batch_config_0,0:GPU,1,Yes,99.6,12.8

